Name,Pathway,Protein,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Condition,Significance,RPKM,Process,Direction
MYO_610,NA,NA,36.594638265503,-0.275322574481579,0.30658521978092,-0.898029509310067,0.369169817427495,0.511761332836274,pmgA,No,18.3212577527864,No annotation,None
MYO_620,NA,NA,15.1218524278648,-0.54617511553292,0.455978847332431,-1.19780800957798,0.230991768323222,0.359964715145699,pmgA,No,5.75993119138546,No annotation,None
MYO_640,NA,NA,201.209663904988,-0.06719927765383,0.155567956968166,-0.43196091896727,0.665769817517902,0.771662389073563,pmgA,No,113.519082988507,No annotation,None
MYO_650,NA,NA,113.804105942188,0.14266371483593,0.180509581977579,0.790338735888545,0.429329970478289,0.56912673844714,pmgA,No,70.6925012626441,No annotation,None
MYO_710,NA,NA,194.556685868981,-0.29129694984564,0.189354479831895,-1.53836840883959,0.123958561941094,0.221914324383683,pmgA,No,28.2145884091125,No annotation,None
MYO_720,NA,NA,39.4396526518714,-0.795185138736827,0.281985862761731,-2.81994682623055,0.004803160793122,0.015886342099868,pmgA,No,15.5733011994086,No annotation,None
MYO_810,NA,NA,35.3897711142967,-0.453786930292343,0.291137700497533,-1.55866770094308,0.11907505021002,0.214347203811424,pmgA,No,4.0809707776698,No annotation,None
MYO_820,NA,NA,256.983170828403,-0.147331977456079,0.146529563596008,-1.00547612263613,0.314667641301563,0.455277507181616,pmgA,No,106.990408161109,No annotation,None
MYO_830,NA,NA,422.336579357476,-0.030352380143022,0.124461745434571,-0.243869150613655,0.807332162182908,0.874987960776686,pmgA,No,246.614446840722,No annotation,None
MYO_RS18465,NA,NA,363.661008168692,-0.590237242367205,0.123987848861178,-4.76044425150128,1.93167287761223E-06,1.68794822564683E-05,pmgA,No,16.2281660325102,No annotation,None
ndhK2,NA,NA,33.812348959818,-0.610914806848987,0.301573192468463,-2.02575965671376,0.04278941999322,0.095120450600506,pmgA,No,6.52931363531867,No annotation,None
SGL_RS00025,NA,NA,12.2737821404838,-2.11462700677719,0.588434989635547,-3.5936459320458,0.000326082880151,0.001616256740692,pmgA,Yes,2.57097823886592,No annotation,Down
SGL_RS00480,NA,NA,1.43954786375671,-1.92621758079281,1.56699335021439,-1.22924425973427,0.218980239088621,0.346433198987317,pmgA,No,0.714408658289443,No annotation,None
SGL_RS00520,NA,NA,2.21400921286971,0.750666348240484,1.1854411682663,0.633237960968008,0.526578259604938,0.653651512010479,pmgA,No,1.96290058536226,No annotation,None
SGL_RS00660,NA,NA,93.4865689503032,0.221515627508067,0.1899439480674,1.16621576924085,0.243527218438381,0.373577297812496,pmgA,No,36.0937372281476,No annotation,None
SGL_RS00835,NA,NA,1.62469738614377,-0.615258364689722,1.30128241874003,-0.47280925018986,0.636349274009461,0.747937589079868,pmgA,No,1.41655815147026,No annotation,None
SGL_RS01210,NA,NA,3.9081745575134,-0.37914760281805,0.855211803478115,-0.443337663577689,0.657521517161445,0.766458711869023,pmgA,No,2.19924610295139,No annotation,None
SGL_RS01360,NA,NA,39.6930738539783,-0.837283948316131,0.296961631324578,-2.81950211743343,0.004809821364915,0.015893518030283,pmgA,No,13.6633461814957,No annotation,None
SGL_RS02210,NA,NA,82.921500750757,-0.247145595808197,0.230647012062371,-1.07153174714167,0.28393040385744,0.420430836506896,pmgA,No,46.1128830416152,No annotation,None
SGL_RS02215,NA,NA,127.986693652574,0.095524020388295,0.196803772964812,0.485376977022563,0.627408960680066,0.740874311593845,pmgA,No,89.8145892467968,No annotation,None
